n;Task1;Task2;Task3
1071;4;3213;2294082
1072;4;3216;2298368
1073;4;3219;2302658
1074;4;3222;2306952
1075;4;3225;2311250
1076;4;3228;2315552
1077;4;3231;2319858
1078;4;3234;2324168
1079;4;3237;2328482
1080;4;3240;2332800
1081;4;3243;2337122
1082;4;3246;2341448
1083;4;3249;2345778
1084;4;3252;2350112
1085;4;3255;2354450
1086;4;3258;2358792
1087;4;3261;2363138
1088;4;3264;2367488
1089;4;3267;2371842
1090;4;3270;2376200
1091;4;3273;2380562
1092;4;3276;2384928
1093;4;3279;2389298
1094;4;3282;2393672
1095;4;3285;2398050
1096;4;3288;2402432
1097;4;3291;2406818
1098;4;3294;2411208
1099;4;3297;2415602
1100;4;3300;2420000
1101;4;3303;2424402
1102;4;3306;2428808
1103;4;3309;2433218
1104;4;3312;2437632
1105;4;3315;2442050
1106;4;3318;2446472
1107;4;3321;2450898
1108;4;3324;2455328
1109;4;3327;2459762
1110;4;3330;2464200
1111;4;3333;2468642
1112;4;3336;2473088
1113;4;3339;2477538
1114;4;3342;2481992
1115;4;3345;2486450
1116;4;3348;2490912
1117;4;3351;2495378
1118;4;3354;2499848
1119;4;3357;2504322
1120;4;3360;2508800
1121;4;3363;2513282
1122;4;3366;2517768
1123;4;3369;2522258
1124;4;3372;2526752
1125;4;3375;2531250
1126;4;3378;2535752
1127;4;3381;2540258
1128;4;3384;2544768
1129;4;3387;2549282
1130;4;3390;2553800
1131;4;3393;2558322
1132;4;3396;2562848
1133;4;3399;2567378
1134;4;3402;2571912
1135;4;3405;2576450
1136;4;3408;2580992
1137;4;3411;2585538
1138;4;3414;2590088
1139;4;3417;2594642
1140;4;3420;2599200
1141;4;3423;2603762
1142;4;3426;2608328
1143;4;3429;2612898
1144;4;3432;2617472
1145;4;3435;2622050
1146;4;3438;2626632
1147;4;3441;2631218
1148;4;3444;2635808
1149;4;3447;2640402
1150;4;3450;2645000
1151;4;3453;2649602
1152;4;3456;2654208
1153;4;3459;2658818
1154;4;3462;2663432
1155;4;3465;2668050
1156;4;3468;2672672
1157;4;3471;2677298
1158;4;3474;2681928
1159;4;3477;2686562
1160;4;3480;2691200
1161;4;3483;2695842
1162;4;3486;2700488
1163;4;3489;2705138
1164;4;3492;2709792
1165;4;3495;2714450
1166;4;3498;2719112
1167;4;3501;2723778
1168;4;3504;2728448
1169;4;3507;2733122
1170;4;3510;2737800
1171;4;3513;2742482
1172;4;3516;2747168
1173;4;3519;2751858
1174;4;3522;2756552
1175;4;3525;2761250
1176;4;3528;2765952
1177;4;3531;2770658
1178;4;3534;2775368
1179;4;3537;2780082
1180;4;3540;2784800
1181;4;3543;2789522
1182;4;3546;2794248
1183;4;3549;2798978
1184;4;3552;2803712
1185;4;3555;2808450
1186;4;3558;2813192
1187;4;3561;2817938
1188;4;3564;2822688
1189;4;3567;2827442
1190;4;3570;2832200
1191;4;3573;2836962
1192;4;3576;2841728
1193;4;3579;2846498
1194;4;3582;2851272
1195;4;3585;2856050
1196;4;3588;2860832
1197;4;3591;2865618
1198;4;3594;2870408
1199;4;3597;2875202
1200;4;3600;2880000
1201;4;3603;2884802
1202;4;3606;2889608
1203;4;3609;2894418
1204;4;3612;2899232
1205;4;3615;2904050
1206;4;3618;2908872
1207;4;3621;2913698
1208;4;3624;2918528
1209;4;3627;2923362
1210;4;3630;2928200
1211;4;3633;2933042
1212;4;3636;2937888
1213;4;3639;2942738
1214;4;3642;2947592
1215;4;3645;2952450
1216;4;3648;2957312
1217;4;3651;2962178
1218;4;3654;2967048
1219;4;3657;2971922
1220;4;3660;2976800
1221;4;3663;2981682
1222;4;3666;2986568
1223;4;3669;2991458
1224;4;3672;2996352
1225;4;3675;3001250
1226;4;3678;3006152
1227;4;3681;3011058
1228;4;3684;3015968
1229;4;3687;3020882
1230;4;3690;3025800
1231;4;3693;3030722
1232;4;3696;3035648
1233;4;3699;3040578
1234;4;3702;3045512
1235;4;3705;3050450
1236;4;3708;3055392
1237;4;3711;3060338
1238;4;3714;3065288
1239;4;3717;3070242
1240;4;3720;3075200
1241;4;3723;3080162
1242;4;3726;3085128
1243;4;3729;3090098
1244;4;3732;3095072
1245;4;3735;3100050
1246;4;3738;3105032
1247;4;3741;3110018
1248;4;3744;3115008
1249;4;3747;3120002
1250;4;3750;3125000
1251;4;3753;3130002
1252;4;3756;3135008
1253;4;3759;3140018
1254;4;3762;3145032
1255;4;3765;3150050
1256;4;3768;3155072
1257;4;3771;3160098
1258;4;3774;3165128
1259;4;3777;3170162
1260;4;3780;3175200
1261;4;3783;3180242
1262;4;3786;3185288
1263;4;3789;3190338
1264;4;3792;3195392
1265;4;3795;3200450
1266;4;3798;3205512
1267;4;3801;3210578
1268;4;3804;3215648
1269;4;3807;3220722
1270;4;3810;3225800
1271;4;3813;3230882
1272;4;3816;3235968
1273;4;3819;3241058
1274;4;3822;3246152
1275;4;3825;3251250
1276;4;3828;3256352
1277;4;3831;3261458
1278;4;3834;3266568
1279;4;3837;3271682
1280;4;3840;3276800
1281;4;3843;3281922
1282;4;3846;3287048
1283;4;3849;3292178
1284;4;3852;3297312
1285;4;3855;3302450
1286;4;3858;3307592
1287;4;3861;3312738
1288;4;3864;3317888
